customer_id,tenure_months,monthly_charges,total_charges,support_tickets_90d,late_payments_6m,payment_method,contract,has_auto_pay,has_premium,usage_drop_30d,nps_score,churn
C000000,6,96.84,591.57,2,0,pix,one_year,1,1,-0.095,0,1
C000001,47,93.97,4478.83,0,1,credit_card,month_to_month,1,0,-0.31,30,1
C000002,40,136.91,5533.23,2,0,credit_card,month_to_month,0,0,0.094,-6,1
C000003,27,138.67,3744.44,1,1,credit_card,month_to_month,0,0,-0.027,-1,1
C000004,26,91.27,2256.23,1,1,credit_card,month_to_month,0,0,0.157,-5,1
C000005,52,95.89,4930.96,1,0,credit_card,month_to_month,1,1,0.332,17,1
C000006,6,128.94,811.8,1,0,credit_card,month_to_month,1,1,0.116,45,1
C000007,42,81.03,3325.94,2,0,credit_card,two_year,0,1,0.091,49,1
C000008,13,95.63,1226.87,0,0,credit_card,one_year,1,1,0.169,69,0
C000009,6,113.14,695.74,1,0,credit_card,month_to_month,0,1,0.537,-26,1
C000010,32,144.86,4708.93,2,0,pix,two_year,0,1,0.46,-16,0
C000011,59,88.84,5212.75,2,0,boleto,month_to_month,1,0,-0.007,-12,0
C000012,45,45.52,2016.07,0,0,boleto,one_year,0,0,0.221,20,1
C000013,46,42.92,1971.66,1,0,pix,month_to_month,0,1,0.371,-18,1
C000014,44,65.92,2918.05,0,0,boleto,two_year,1,0,0.175,-4,1
C000015,48,64.04,3066.17,1,0,boleto,month_to_month,1,1,0.038,44,1
C000016,31,104.59,3294.71,1,2,credit_card,two_year,0,1,-0.04,57,1
C000017,8,68.39,507.16,1,0,credit_card,one_year,1,0,0.068,44,0
C000018,51,85.4,4361.59,1,1,credit_card,month_to_month,1,1,-0.155,31,0
C000019,28,82.91,2343.66,2,2,pix,month_to_month,1,0,0.211,-3,0
C000020,31,94.58,2912.04,2,0,credit_card,one_year,0,1,0.3,21,1
C000021,23,156.29,3636.6,1,0,credit_card,month_to_month,0,1,-0.021,60,0
C000022,11,133.17,1472.3,3,1,pix,month_to_month,1,1,-0.031,43,0
C000023,56,110.56,6231.06,1,2,credit_card,one_year,1,0,-0.14,51,0
C000024,47,93.86,4421.32,1,0,boleto,month_to_month,0,0,0.134,53,1
C000025,39,94.84,3717.46,0,3,boleto,month_to_month,1,0,0.048,9,1
C000026,25,121.47,3005.16,2,1,credit_card,month_to_month,0,0,-0.21,42,1
C000027,50,130.45,6490.76,3,0,credit_card,month_to_month,1,0,0.575,7,1
C000028,33,78.23,2642.92,0,0,credit_card,month_to_month,1,0,-0.27,41,1
C000029,27,111.28,3036.25,0,0,boleto,month_to_month,1,0,-0.209,63,1
C000030,28,38.89,1037.86,1,1,pix,two_year,1,0,0.219,74,0
C000031,14,117.41,1652.78,3,1,pix,month_to_month,1,0,0.168,41,1
C000032,6,136.68,701.36,2,1,credit_card,one_year,0,0,-0.079,34,1
C000033,34,100.2,3378.02,0,0,credit_card,one_year,0,1,-0.09,69,0
C000034,54,173.58,9421.29,0,0,boleto,one_year,0,1,0.132,-10,1
C000035,4,79.16,310.37,2,0,boleto,month_to_month,1,0,0.118,71,0
C000036,52,117.61,6121.64,0,0,credit_card,month_to_month,1,0,-0.077,25,0
C000037,50,108.75,5286.49,1,1,credit_card,month_to_month,0,0,0.229,25,1
C000038,17,106.49,1790.71,0,2,credit_card,one_year,0,0,0.153,4,0
C000039,38,106.0,4044.87,0,0,credit_card,one_year,1,1,0.291,-21,0
C000040,10,113.75,1160.75,4,0,boleto,month_to_month,1,0,0.041,72,0
C000041,46,139.68,6473.33,1,0,pix,one_year,0,0,0.196,34,0
C000042,43,158.22,6792.98,1,0,credit_card,month_to_month,1,0,0.009,7,1
C000043,22,109.92,2409.98,0,2,credit_card,month_to_month,0,1,0.147,32,1
C000044,5,138.54,626.07,0,2,credit_card,month_to_month,0,0,0.114,8,1
C000045,59,85.44,5030.63,0,4,credit_card,month_to_month,0,0,0.203,-40,1
C000046,27,136.81,3630.75,0,0,credit_card,two_year,0,1,0.144,14,1
C000047,54,83.33,4407.44,1,1,credit_card,one_year,0,1,-0.29,-29,0
C000048,41,148.17,6020.84,2,0,credit_card,month_to_month,1,0,-0.063,28,1
C000049,47,187.37,8881.94,2,0,boleto,month_to_month,0,0,0.065,76,1
C000050,46,105.73,4849.92,0,0,boleto,one_year,0,0,0.134,-2,1
C000051,12,33.26,410.13,1,0,boleto,one_year,0,1,0.198,48,1
C000052,22,90.82,1972.31,1,1,credit_card,month_to_month,0,1,0.149,-2,1
C000053,29,153.12,4350.83,3,0,credit_card,month_to_month,1,1,-0.077,19,1
C000054,30,129.36,3927.54,0,0,credit_card,one_year,1,0,0.215,-11,0
C000055,3,118.71,247.53,2,1,credit_card,month_to_month,1,0,-0.096,42,1
C000056,33,145.3,4767.27,0,2,credit_card,month_to_month,0,0,0.277,67,1
C000057,10,126.96,1266.83,2,1,credit_card,month_to_month,0,1,0.289,27,1
C000058,45,152.62,6879.44,1,1,pix,month_to_month,0,0,0.048,39,1
C000059,41,142.18,5793.05,0,0,pix,month_to_month,1,0,-0.067,39,1
C000060,56,163.26,9050.63,2,0,boleto,month_to_month,0,0,-0.075,11,0
C000061,45,122.56,5475.05,1,1,boleto,month_to_month,1,0,-0.147,66,1
C000062,22,141.68,3079.61,0,1,boleto,month_to_month,1,0,-0.116,2,0
C000063,59,99.25,5817.13,1,1,boleto,two_year,1,0,0.018,-35,1
C000064,25,88.95,2272.22,0,0,boleto,month_to_month,0,1,-0.051,-12,1
C000065,20,169.74,3334.06,1,0,credit_card,month_to_month,1,0,-0.24,42,0
C000066,55,117.57,6481.24,2,1,pix,two_year,0,1,-0.037,6,1
C000067,23,138.17,3185.84,1,0,boleto,two_year,1,0,0.067,23,1
C000068,5,114.33,619.68,0,1,credit_card,one_year,0,0,-0.011,12,1
C000069,29,89.47,2588.03,1,1,credit_card,month_to_month,1,0,-0.111,26,1
C000070,48,110.38,5338.01,3,0,boleto,one_year,0,0,-0.38,58,1
C000071,12,160.26,1914.51,0,0,pix,one_year,1,0,0.256,73,1
C000072,28,129.43,3645.85,2,1,credit_card,one_year,0,0,0.043,-14,0
C000073,8,50.1,325.64,1,0,credit_card,month_to_month,0,0,0.108,53,1
C000074,42,102.47,4171.68,0,0,credit_card,month_to_month,0,1,0.083,27,1
C000075,29,172.38,5017.91,2,1,credit_card,month_to_month,0,1,0.14,-23,1
C000076,20,102.52,2071.9,2,0,credit_card,one_year,0,1,0.093,37,0
C000077,14,46.98,681.54,0,0,credit_card,month_to_month,1,1,0.068,85,1
C000078,34,176.26,5966.48,3,0,credit_card,month_to_month,0,0,0.187,-6,1
C000079,41,133.88,5563.72,3,1,credit_card,one_year,1,0,0.226,12,1
C000080,57,107.55,6107.33,0,1,boleto,two_year,0,1,0.299,-36,1
C000081,27,97.0,2640.05,1,0,credit_card,two_year,1,0,-0.1,16,0
C000082,10,147.88,1508.55,0,1,credit_card,one_year,1,0,0.095,26,1
C000083,50,91.03,4637.47,1,0,credit_card,month_to_month,0,0,-0.239,89,0
C000084,38,150.19,5691.33,3,1,boleto,two_year,1,0,-0.037,-13,1
C000085,43,128.98,5513.34,3,1,credit_card,month_to_month,1,1,0.015,54,1
C000086,6,118.56,636.48,0,1,boleto,month_to_month,1,0,0.183,31,1
C000087,19,115.09,2264.39,1,1,credit_card,month_to_month,0,0,0.029,98,1
C000088,47,103.88,4903.25,1,0,credit_card,one_year,1,1,0.171,26,0
C000089,50,146.6,7352.52,0,1,pix,month_to_month,1,1,-0.012,18,1
C000090,27,79.71,2308.09,2,1,credit_card,month_to_month,0,1,-0.054,50,1
C000091,49,53.23,2624.65,3,2,credit_card,month_to_month,0,1,-0.094,37,1
C000092,51,131.51,6641.66,1,1,credit_card,one_year,0,0,0.174,53,1
C000093,24,132.09,3160.45,1,1,credit_card,one_year,0,0,-0.018,40,1
C000094,54,126.81,6798.92,2,1,boleto,month_to_month,0,0,-0.387,-32,1
C000095,18,124.27,2217.08,2,1,boleto,month_to_month,1,0,0.164,38,1
C000096,15,98.78,1461.59,0,1,pix,one_year,1,1,-0.117,37,0
C000097,41,137.56,5610.69,1,0,credit_card,month_to_month,0,1,0.085,-6,1
C000098,39,108.41,4158.15,2,1,credit_card,month_to_month,0,0,-0.153,30,1
