customer_id,churn_probability,risk_level
C000000,0.6185,medium
C000001,0.4526,low
C000002,0.8666,high
C000003,0.8725,high
C000004,0.8949,high
C000005,0.6347,medium
C000006,0.6896,medium
C000007,0.4817,low
C000008,0.2816,low
C000009,0.9471,high
C000010,0.8064,high
C000011,0.8065,high
C000012,0.5929,medium
C000013,0.8362,high
C000014,0.5191,medium
C000015,0.6215,medium
C000016,0.5751,medium
C000017,0.4345,low
C000018,0.5495,medium
C000019,0.89,high
C000020,0.6973,medium
C000021,0.6834,medium
C000022,0.8165,high
C000023,0.3238,low
C000024,0.7582,high
C000025,0.8788,high
C000026,0.8102,high
C000027,0.847,high
C000028,0.3966,low
C000029,0.5237,medium
C000030,0.3145,low
C000031,0.8407,high
C000032,0.7465,medium
C000033,0.2714,low
C000034,0.6902,medium
C000035,0.8017,high
C000036,0.4298,low
C000037,0.794,high
C000038,0.7774,high
C000039,0.513,medium
C000040,0.8652,high
C000041,0.4703,low
C000042,0.6522,medium
C000043,0.8476,high
C000044,0.9124,high
C000045,0.9429,high
C000046,0.5452,medium
C000047,0.6266,medium
C000048,0.6441,medium
C000049,0.7738,high
C000050,0.666,medium
C000051,0.7236,medium
C000052,0.8979,high
C000053,0.778,high
C000054,0.499,low
C000055,0.7942,high
C000056,0.7636,high
C000057,0.9219,high
C000058,0.7339,medium
C000059,0.4121,low
C000060,0.8631,high
C000061,0.6199,medium
C000062,0.8258,high
C000063,0.6954,medium
C000064,0.8801,high
C000065,0.5607,medium
C000066,0.6209,medium
C000067,0.5941,medium
C000068,0.6967,medium
C000069,0.6773,medium
C000070,0.5601,medium
C000071,0.2735,low
C000072,0.8214,high
C000073,0.7717,high
C000074,0.6511,medium
C000075,0.9404,high
C000076,0.6458,medium
C000077,0.4129,low
C000078,0.9205,high
C000079,0.6971,medium
C000080,0.8138,high
C000081,0.3955,low
C000082,0.5112,medium
C000083,0.3876,low
C000084,0.8285,high
C000085,0.7156,medium
C000086,0.8471,high
C000087,0.6583,medium
C000088,0.3539,low
C000089,0.5568,medium
C000090,0.8072,high
C000091,0.8564,high
C000092,0.4858,low
C000093,0.6015,medium
C000094,0.9217,high
C000095,0.8849,high
C000096,0.3642,low
C000097,0.8201,high
C000098,0.8045,high
C000099,0.8214,high
