customer_id,churn_probability,risk_level,tenure_months,support_tickets_90d,late_payments_6m,usage_drop_30d,nps_score,contract,payment_method,top_drivers
C000000,0.6185,medium,6,2,0,-0.095,0,one_year,pix,total_charges(+51.29); support_tickets_90d(+0.72); has_premium(+0.00)
C000001,0.4526,low,47,0,1,-0.31,30,month_to_month,credit_card,total_charges(+388.30); late_payments_6m(+0.27)
C000002,0.8666,high,40,2,0,0.094,-6,month_to_month,credit_card,total_charges(+479.71); nps_score(+3.05); support_tickets_90d(+0.72)
C000003,0.8725,high,27,1,1,-0.027,-1,month_to_month,credit_card,total_charges(+324.63); nps_score(+0.51); support_tickets_90d(+0.36)
C000004,0.8949,high,26,1,1,0.157,-5,month_to_month,credit_card,total_charges(+195.61); nps_score(+2.54); support_tickets_90d(+0.36)
C000005,0.6347,medium,52,1,0,0.332,17,month_to_month,credit_card,total_charges(+427.50); support_tickets_90d(+0.36); usage_drop_30d(+0.06)
C000006,0.6896,medium,6,1,0,0.116,45,month_to_month,credit_card,total_charges(+70.38); support_tickets_90d(+0.36); usage_drop_30d(+0.02)
C000007,0.4817,low,42,2,0,0.091,49,two_year,credit_card,total_charges(+288.35); support_tickets_90d(+0.72); usage_drop_30d(+0.02)
C000008,0.2816,low,13,0,0,0.169,69,one_year,credit_card,total_charges(+106.37); usage_drop_30d(+0.03); has_premium(+0.00)
C000009,0.9471,high,6,1,0,0.537,-26,month_to_month,credit_card,total_charges(+60.32); nps_score(+13.23); support_tickets_90d(+0.36)
C000010,0.8064,high,32,2,0,0.46,-16,two_year,pix,total_charges(+408.25); nps_score(+8.14); support_tickets_90d(+0.72)
C000011,0.8065,high,59,2,0,-0.007,-12,month_to_month,boleto,total_charges(+451.93); nps_score(+6.11); support_tickets_90d(+0.72)
C000012,0.5929,medium,45,0,0,0.221,20,one_year,boleto,total_charges(+174.79); usage_drop_30d(+0.04)
C000013,0.8362,high,46,1,0,0.371,-18,month_to_month,pix,total_charges(+170.94); nps_score(+9.16); support_tickets_90d(+0.36)
C000014,0.5191,medium,44,0,0,0.175,-4,two_year,boleto,total_charges(+252.98); nps_score(+2.04); usage_drop_30d(+0.03)
C000015,0.6215,medium,48,1,0,0.038,44,month_to_month,boleto,total_charges(+265.83); support_tickets_90d(+0.36); usage_drop_30d(+0.01)
C000016,0.5751,medium,31,1,2,-0.04,57,two_year,credit_card,total_charges(+285.64); late_payments_6m(+0.55); support_tickets_90d(+0.36)
C000017,0.4345,low,8,1,0,0.068,44,one_year,credit_card,total_charges(+43.97); support_tickets_90d(+0.36); usage_drop_30d(+0.01)
C000018,0.5495,medium,51,1,1,-0.155,31,month_to_month,credit_card,total_charges(+378.13); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000019,0.89,high,28,2,2,0.211,-3,month_to_month,pix,total_charges(+203.19); nps_score(+1.53); support_tickets_90d(+0.72)
C000020,0.6973,medium,31,2,0,0.3,21,one_year,credit_card,total_charges(+252.46); support_tickets_90d(+0.72); usage_drop_30d(+0.06)
C000021,0.6834,medium,23,1,0,-0.021,60,month_to_month,credit_card,total_charges(+315.28); support_tickets_90d(+0.36); has_premium(+0.00)
C000022,0.8165,high,11,3,1,-0.031,43,month_to_month,pix,total_charges(+127.64); support_tickets_90d(+1.09); late_payments_6m(+0.27)
C000023,0.3238,low,56,1,2,-0.14,51,one_year,credit_card,total_charges(+540.21); late_payments_6m(+0.55); support_tickets_90d(+0.36)
C000024,0.7582,high,47,1,0,0.134,53,month_to_month,boleto,total_charges(+383.31); support_tickets_90d(+0.36); usage_drop_30d(+0.03)
C000025,0.8788,high,39,0,3,0.048,9,month_to_month,boleto,total_charges(+322.29); late_payments_6m(+0.82); usage_drop_30d(+0.01)
C000026,0.8102,high,25,2,1,-0.21,42,month_to_month,credit_card,total_charges(+260.54); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000027,0.847,high,50,3,0,0.575,7,month_to_month,credit_card,total_charges(+562.73); support_tickets_90d(+1.09); usage_drop_30d(+0.11)
C000028,0.3966,low,33,0,0,-0.27,41,month_to_month,credit_card,total_charges(+229.13)
C000029,0.5237,medium,27,0,0,-0.209,63,month_to_month,boleto,total_charges(+263.23)
C000030,0.3145,low,28,1,1,0.219,74,two_year,pix,total_charges(+89.98); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000031,0.8407,high,14,3,1,0.168,41,month_to_month,pix,total_charges(+143.29); support_tickets_90d(+1.09); late_payments_6m(+0.27)
C000032,0.7465,medium,6,2,1,-0.079,34,one_year,credit_card,total_charges(+60.81); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000033,0.2714,low,34,0,0,-0.09,69,one_year,credit_card,total_charges(+292.86); has_premium(+0.00)
C000034,0.6902,medium,54,0,0,0.132,-10,one_year,boleto,total_charges(+816.79); nps_score(+5.09); usage_drop_30d(+0.02)
C000035,0.8017,high,4,2,0,0.118,71,month_to_month,boleto,total_charges(+26.91); support_tickets_90d(+0.72); usage_drop_30d(+0.02)
C000036,0.4298,low,52,0,0,-0.077,25,month_to_month,credit_card,total_charges(+530.72)
C000037,0.794,high,50,1,1,0.229,25,month_to_month,credit_card,total_charges(+458.32); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000038,0.7774,high,17,0,2,0.153,4,one_year,credit_card,total_charges(+155.25); late_payments_6m(+0.55); usage_drop_30d(+0.03)
C000039,0.513,medium,38,0,0,0.291,-21,one_year,credit_card,total_charges(+350.68); nps_score(+10.68); usage_drop_30d(+0.05)
C000040,0.8652,high,10,4,0,0.041,72,month_to_month,boleto,total_charges(+100.63); support_tickets_90d(+1.45); usage_drop_30d(+0.01)
C000041,0.4703,low,46,1,0,0.196,34,one_year,pix,total_charges(+561.21); support_tickets_90d(+0.36); usage_drop_30d(+0.04)
C000042,0.6522,medium,43,1,0,0.009,7,month_to_month,credit_card,total_charges(+588.93); support_tickets_90d(+0.36); usage_drop_30d(+0.00)
C000043,0.8476,high,22,0,2,0.147,32,month_to_month,credit_card,total_charges(+208.94); late_payments_6m(+0.55); usage_drop_30d(+0.03)
C000044,0.9124,high,5,0,2,0.114,8,month_to_month,credit_card,total_charges(+54.28); late_payments_6m(+0.55); usage_drop_30d(+0.02)
C000045,0.9429,high,59,0,4,0.203,-40,month_to_month,credit_card,total_charges(+436.14); nps_score(+20.35); late_payments_6m(+1.10)
C000046,0.5452,medium,27,0,0,0.144,14,two_year,credit_card,total_charges(+314.77); usage_drop_30d(+0.03); has_premium(+0.00)
C000047,0.6266,medium,54,1,1,-0.29,-29,one_year,credit_card,total_charges(+382.11); nps_score(+14.76); support_tickets_90d(+0.36)
C000048,0.6441,medium,41,2,0,-0.063,28,month_to_month,credit_card,total_charges(+521.99); support_tickets_90d(+0.72)
C000049,0.7738,high,47,2,0,0.065,76,month_to_month,boleto,total_charges(+770.03); support_tickets_90d(+0.72); usage_drop_30d(+0.01)
C000050,0.666,medium,46,0,0,0.134,-2,one_year,boleto,total_charges(+420.47); nps_score(+1.02); usage_drop_30d(+0.03)
C000051,0.7236,medium,12,1,0,0.198,48,one_year,boleto,total_charges(+35.56); support_tickets_90d(+0.36); usage_drop_30d(+0.04)
C000052,0.8979,high,22,1,1,0.149,-2,month_to_month,credit_card,total_charges(+170.99); nps_score(+1.02); support_tickets_90d(+0.36)
C000053,0.778,high,29,3,0,-0.077,19,month_to_month,credit_card,total_charges(+377.20); support_tickets_90d(+1.09); has_premium(+0.00)
C000054,0.499,low,30,0,0,0.215,-11,one_year,credit_card,total_charges(+340.50); nps_score(+5.60); usage_drop_30d(+0.04)
C000055,0.7942,high,3,2,1,-0.096,42,month_to_month,credit_card,total_charges(+21.46); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000056,0.7636,high,33,0,2,0.277,67,month_to_month,credit_card,total_charges(+413.31); late_payments_6m(+0.55); usage_drop_30d(+0.05)
C000057,0.9219,high,10,2,1,0.289,27,month_to_month,credit_card,total_charges(+109.83); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000058,0.7339,medium,45,1,1,0.048,39,month_to_month,pix,total_charges(+596.42); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000059,0.4121,low,41,0,0,-0.067,39,month_to_month,pix,total_charges(+502.24)
C000060,0.8631,high,56,2,0,-0.075,11,month_to_month,boleto,total_charges(+784.66); support_tickets_90d(+0.72)
C000061,0.6199,medium,45,1,1,-0.147,66,month_to_month,boleto,total_charges(+474.67); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000062,0.8258,high,22,0,1,-0.116,2,month_to_month,boleto,total_charges(+266.99); late_payments_6m(+0.27)
C000063,0.6954,medium,59,1,1,0.018,-35,two_year,boleto,total_charges(+504.32); nps_score(+17.81); support_tickets_90d(+0.36)
C000064,0.8801,high,25,0,0,-0.051,-12,month_to_month,boleto,total_charges(+196.99); nps_score(+6.11); has_premium(+0.00)
C000065,0.5607,medium,20,1,0,-0.24,42,month_to_month,credit_card,total_charges(+289.05); support_tickets_90d(+0.36)
C000066,0.6209,medium,55,2,1,-0.037,6,two_year,pix,total_charges(+561.90); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000067,0.5941,medium,23,1,0,0.067,23,two_year,boleto,total_charges(+276.20); support_tickets_90d(+0.36); usage_drop_30d(+0.01)
C000068,0.6967,medium,5,0,1,-0.011,12,one_year,credit_card,total_charges(+53.72); late_payments_6m(+0.27)
C000069,0.6773,medium,29,1,1,-0.111,26,month_to_month,credit_card,total_charges(+224.37); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000070,0.5601,medium,48,3,0,-0.38,58,one_year,boleto,total_charges(+462.79); support_tickets_90d(+1.09)
C000071,0.2735,low,12,0,0,0.256,73,one_year,pix,total_charges(+165.98); usage_drop_30d(+0.05)
C000072,0.8214,high,28,2,1,0.043,-14,one_year,credit_card,total_charges(+316.08); nps_score(+7.12); support_tickets_90d(+0.72)
C000073,0.7717,high,8,1,0,0.108,53,month_to_month,credit_card,total_charges(+28.23); support_tickets_90d(+0.36); usage_drop_30d(+0.02)
C000074,0.6511,medium,42,0,0,0.083,27,month_to_month,credit_card,total_charges(+361.67); usage_drop_30d(+0.02); has_premium(+0.00)
C000075,0.9404,high,29,2,1,0.14,-23,month_to_month,credit_card,total_charges(+435.03); nps_score(+11.70); support_tickets_90d(+0.72)
C000076,0.6458,medium,20,2,0,0.093,37,one_year,credit_card,total_charges(+179.63); support_tickets_90d(+0.72); usage_drop_30d(+0.02)
C000077,0.4129,low,14,0,0,0.068,85,month_to_month,credit_card,total_charges(+59.09); usage_drop_30d(+0.01); has_premium(+0.00)
C000078,0.9205,high,34,3,0,0.187,-6,month_to_month,credit_card,total_charges(+517.27); nps_score(+3.05); support_tickets_90d(+1.09)
C000079,0.6971,medium,41,3,1,0.226,12,one_year,credit_card,total_charges(+482.35); support_tickets_90d(+1.09); late_payments_6m(+0.27)
C000080,0.8138,high,57,0,1,0.299,-36,two_year,boleto,total_charges(+529.48); nps_score(+18.32); late_payments_6m(+0.27)
C000081,0.3955,low,27,1,0,-0.1,16,two_year,credit_card,total_charges(+228.88); support_tickets_90d(+0.36)
C000082,0.5112,medium,10,0,1,0.095,26,one_year,credit_card,total_charges(+130.79); late_payments_6m(+0.27); usage_drop_30d(+0.02)
C000083,0.3876,low,50,1,0,-0.239,89,month_to_month,credit_card,total_charges(+402.05); support_tickets_90d(+0.36)
C000084,0.8285,high,38,3,1,-0.037,-13,two_year,boleto,total_charges(+493.42); nps_score(+6.61); support_tickets_90d(+1.09)
C000085,0.7156,medium,43,3,1,0.015,54,month_to_month,credit_card,total_charges(+477.99); support_tickets_90d(+1.09); late_payments_6m(+0.27)
C000086,0.8471,high,6,0,1,0.183,31,month_to_month,boleto,total_charges(+55.18); late_payments_6m(+0.27); usage_drop_30d(+0.03)
C000087,0.6583,medium,19,1,1,0.029,98,month_to_month,credit_card,total_charges(+196.31); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000088,0.3539,low,47,1,0,0.171,26,one_year,credit_card,total_charges(+425.09); support_tickets_90d(+0.36); usage_drop_30d(+0.03)
C000089,0.5568,medium,50,0,1,-0.012,18,month_to_month,pix,total_charges(+637.44); late_payments_6m(+0.27); has_premium(+0.00)
C000090,0.8072,high,27,2,1,-0.054,50,month_to_month,credit_card,total_charges(+200.10); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000091,0.8564,high,49,3,2,-0.094,37,month_to_month,credit_card,total_charges(+227.55); support_tickets_90d(+1.09); late_payments_6m(+0.55)
C000092,0.4858,low,51,1,1,0.174,53,one_year,credit_card,total_charges(+575.81); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000093,0.6015,medium,24,1,1,-0.018,40,one_year,credit_card,total_charges(+274.00); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000094,0.9217,high,54,2,1,-0.387,-32,month_to_month,boleto,total_charges(+589.44); nps_score(+16.28); support_tickets_90d(+0.72)
